"","ch_in","business_lat","business_long","WE","Quarter","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","TOBS_1","TOBS_2","TOBS_3","TOBS_4"
"23492",0,36.156348,-115.334471,0,"Q3",37.3636363636364,0,0,294.333333333333,227.666666666667,278,328,333,322,306
"24593",0,36.156348,-115.334471,0,"Q4",70.3636363636364,0,0,100,64.6666666666667,67,106,44,11,11
"24650",0,36.156348,-115.334471,0,"Q4",0,0,0,163,20.3333333333333,56,67,72,100,94
"25791",0,36.156348,-115.334471,0,"Q2",0,0,0,352,224,239,272,278,250,250
"26328",0,36.156348,-115.334471,1,"Q3",2.16666666666667,0,0,409.333333333333,274,317,333,333,322,306
"27027",1,36.156348,-115.334471,0,"Q4",0,0,0,204,79.6666666666667,117,178,139,106,106
"28056",0,36.156348,-115.334471,1,"Q2",0,0,0,292.333333333333,128,222,100,111,183,122
"28742",0,36.156348,-115.334471,0,"Q3",0,0,0,420.333333333333,298.333333333333,339,339,344,283,322
"374",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,137,40.6666666666667,100,28,-11,11,89
"527",0,36.1567959455,-115.3343868256,1,"Q1",0,0,0,37,-40.6666666666667,-28,200,11,17,11
"1432",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,296,153.666666666667,200,239,222,239,183
"1541",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,350,200,244,267,250,256,267
"1631",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,388.666666666667,228,294,333,317,294,294
"2052",0,36.1567959455,-115.3343868256,1,"Q3",1.38461538461538,0,0,350,272.333333333333,278,317,311,300,333
"2225",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,429.666666666667,285,328,306,294,272,294
"2337",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,388.666666666667,233.333333333333,272,278,222,222,244
"2407",0,36.1567959455,-115.3343868256,0,"Q3",95.4,0,0,244.333333333333,172.333333333333,189,217,250,233,244
"2442",0,36.1567959455,-115.3343868256,1,"Q3",0,0,0,331.333333333333,205.333333333333,233,244,261,250,256
"2664",0,36.1567959455,-115.3343868256,0,"Q4",25.125,0,0,177.666666666667,98.3333333333333,94,117,139,144,156
"2878",0,36.1567959455,-115.3343868256,1,"Q4",0,0,0,300,150,183,211,200,128,94
"2962",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,261,109.333333333333,122,122,72,139,61
"3244",0,36.1567959455,-115.3343868256,1,"Q4",0,0,0,196,51.6666666666667,72,89,83,83,83
"3252",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,187,64.6666666666667,89,83,83,83,83
"3526",0,36.1567959455,-115.3343868256,1,"Q4",0,0,0,142.333333333333,5.66666666666667,33,22,22,61,78
"3625",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,194.333333333333,54,67,83,56,72,94
"3646",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,181.333333333333,40.6666666666667,72,94,67,50,50
"4395",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,240.666666666667,76,189,61,72,78,100
"4442",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,218.666666666667,53.6666666666667,100,172,172,161,167
"4589",0,36.1567959455,-115.3343868256,1,"Q1",41.9230769230769,0,0,114.666666666667,40.6666666666667,50,61,89,133,211
"4683",0,36.1567959455,-115.3343868256,1,"Q1",0,0,0,268.666666666667,131.333333333333,200,89,122,172,161
"4920",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,215,127.666666666667,122,128,78,106,156
"4970",0,36.1567959455,-115.3343868256,1,"Q2",11.6,0,0,151.666666666667,61.3333333333333,106,156,161,194,228
"5360",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,287,172,211,189,228,217,244
"5562",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,386.666666666667,241,272,256,233,250,306
"5584",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,316.666666666667,218.666666666667,256,233,250,306,289
"5634",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,363,189,250,306,289,283,250
"5743",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,276,136.666666666667,194,228,261,261,294
"5907",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,313,185,228,261,278,256,239
"6823",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,407.333333333333,279.666666666667,322,306,289,306,328
"7063",0,36.1567959455,-115.3343868256,0,"Q3",0.8,0,0,405.666666666667,302,322,339,361,339,339
"7099",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,435,292.666666666667,361,339,339,339,344
"7335",0,36.1567959455,-115.3343868256,0,"Q3",133.076923076923,0,0,292.333333333333,204,206,256,289,311,300
"7725",0,36.1567959455,-115.3343868256,1,"Q3",0,0,0,359.666666666667,218.666666666667,267,289,256,233,233
"8026",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,261,172.333333333333,172,161,133,144,106
"8261",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,154,17,67,72,83,89,100
"9029",0,36.1567959455,-115.3343868256,1,"Q1",0,0,0,176,13.3333333333333,44,44,67,106,106
"10514",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,267,140.666666666667,144,217,233,194,167
"10801",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,313.333333333333,192.666666666667,211,217,267,228,228
"11246",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,381.666666666667,229.333333333333,272,317,289,272,283
"12587",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,381.666666666667,244.666666666667,278,233,228,278,228
"13600",0,36.1567959455,-115.3343868256,1,"Q4",0.272727272727273,0,0,109.333333333333,-9,33,-39,-33,-17,17
"16784",0,36.1567959455,-115.3343868256,1,"Q3",0,0,0,394.666666666667,263,317,294,322,361,361
"19018",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,265,148.333333333333,156,167,172,178,206
"19270",0,36.1567959455,-115.3343868256,0,"Q2",0,0,0,222.333333333333,87,122,156,183,183,233
"21799",0,36.1567959455,-115.3343868256,0,"Q1",0,0,0,170.333333333333,57.3333333333333,89,117,50,33,0
"22253",1,36.1567959455,-115.3343868256,0,"Q1",0,0,0,272.333333333333,137,167,178,228,167,122
"23617",0,36.1567959455,-115.3343868256,0,"Q3",0,0,0,422.333333333333,276,311,328,283,333,328
"24262",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,268.666666666667,129.666666666667,156,150,161,156,156
"24995",0,36.1567959455,-115.3343868256,0,"Q1",5.33333333333333,0,0,172.333333333333,111.333333333333,144,100,111,161,150
"26985",0,36.1567959455,-115.3343868256,0,"Q4",0,0,0,220.333333333333,133.333333333333,172,167,167,172,106
"28367",0,36.1567959455,-115.3343868256,1,"Q2",0,0,0,311.333333333333,192.666666666667,228,244,272,267,233
"21035",0,36.1454176827,-115.3342351429,0,"Q4",16.3333333333333,0,0,124.333333333333,66.6666666666667,72,72,117,78,94
"21083",0,36.1454176827,-115.3342351429,0,"Q4",0,0,0,211,72,133,94,56,67,83
"21127",0,36.1454176827,-115.3342351429,1,"Q4",1,0,0,200,49.6666666666667,89,78,72,83,100
"21480",0,36.1454176827,-115.3342351429,1,"Q4",0,0,0,72.3333333333333,-25.3333333333333,11,33,11,-6,-17
"21705",1,36.1454176827,-115.3342351429,0,"Q1",6.72727272727273,0,0,104,38.6666666666667,78,61,67,78,89
"22352",0,36.1454176827,-115.3342351429,0,"Q1",0,0,0,228,94.3333333333333,94,106,78,167,161
"14654",1,36.1568053738,-115.3341114173,0,"Q1",0,0,0,229.666666666667,98,156,144,117,89,117
"16899",0,36.1568053738,-115.3341114173,0,"Q3",34.6153846153846,0,0,361.333333333333,259.666666666667,272,306,306,344,339
"20442",0,36.1568053738,-115.3341114173,1,"Q3",0,0,0,418.666666666667,263,300,322,311,300,306
"22379",0,36.1568053738,-115.3341114173,0,"Q1",0,0,0,231.333333333333,77.6666666666667,167,161,172,194,194
"25076",0,36.1568053738,-115.3341114173,1,"Q1",0,0,0,152,27.6666666666667,100,89,61,56,83
"27344",0,36.1568053738,-115.3341114173,0,"Q4",0,0,0,168.666666666667,24.3333333333333,56,67,61,61,50
"19308",0,36.152831458,-115.3338667748,0,"Q2",0,0,0,294,122.333333333333,117,122,156,172,194
"19469",0,36.152831458,-115.3338667748,1,"Q2",0,0,0,325.666666666667,196.333333333333,244,194,233,194,128
"20143",0,36.152831458,-115.3338667748,0,"Q3",0,0,0,383.333333333333,251.666666666667,300,306,306,306,311
"20207",0,36.152831458,-115.3338667748,0,"Q3",0,0,0,409.333333333333,298.333333333333,344,333,272,317,311
"21516",0,36.152831458,-115.3338667748,0,"Q4",0,0,0,90.3333333333333,-21.6666666666667,-6,-17,22,50,78
"21608",0,36.152831458,-115.3338667748,1,"Q1",0,0,0,116.666666666667,38.6666666666667,56,11,11,22,33
"21741",0,36.152831458,-115.3338667748,1,"Q1",0,0,0,131.333333333333,55.6666666666667,89,56,72,44,56
"22499",0,36.152831458,-115.3338667748,0,"Q2",3.27272727272727,0,0,259.333333333333,120.666666666667,189,206,194,150,167
"22828",0,36.152831458,-115.3338667748,1,"Q2",0,0,0,255.666666666667,146,178,200,206,189,172
"22985",0,36.152831458,-115.3338667748,0,"Q2",0,0,0,433.333333333333,276,350,322,311,283,272
"23782",0,36.152831458,-115.3338667748,1,"Q3",0,0,0,340.666666666667,238.666666666667,256,239,261,272,283
"23976",0,36.152831458,-115.3338667748,0,"Q3",1.16666666666667,0,0,324,205.666666666667,250,272,267,194,156
"24610",0,36.152831458,-115.3338667748,1,"Q4",77.7692307692308,0,0,113,44.3333333333333,44,11,11,17,44
"25283",1,36.152831458,-115.3338667748,0,"Q1",0,0,0,255.666666666667,87,194,122,167,139,128
"28048",0,36.152831458,-115.3338667748,1,"Q2",0,0,0,253.666666666667,105.666666666667,156,222,100,111,183
"754",1,36.15735,-115.333833,1,"Q1",34.0833333333333,0,0,137,72.3333333333333,72,50,44,56,83
"1029",0,36.15735,-115.333833,0,"Q1",0,0,0,255.666666666667,99.6666666666667,161,133,189,167,239
"1227",0,36.15735,-115.333833,0,"Q2",0,0,0,246,153.666666666667,156,156,194,111,133
"6893",0,36.15735,-115.333833,1,"Q3",0,0,0,418.333333333333,225.666666666667,306,328,267,244,283
"13149",0,36.15735,-115.333833,1,"Q4",0,0,0,237,87,144,144,67,56,94
"14739",0,36.15735,-115.333833,1,"Q1",6.61538461538461,0,0,179.333333333333,63,117,128,156,128,183
"7844",0,36.1572810451,-115.3336143494,0,"Q4",0,0,0,370.333333333333,201.666666666667,278,256,239,217,189
"21881",0,36.1569658,-115.3335939,1,"Q1",0,0,0,163,26,61,111,89,94,100
"22335",0,36.1569658,-115.3335939,1,"Q1",0,0,0,207.666666666667,122.333333333333,122,189,94,106,78
"22945",0,36.1569658,-115.3335939,0,"Q2",0,0,0,413,229.666666666667,311,300,317,328,322
"23080",0,36.1569658,-115.3335939,1,"Q2",0,0,0,388.666666666667,248.333333333333,322,328,378,356,344
"23662",0,36.1569658,-115.3335939,1,"Q3",0,0,0,383.333333333333,270.333333333333,278,228,333,328,306
"24439",1,36.1569658,-115.3335939,0,"Q4",0,0,0,124.333333333333,66.6666666666667,61,50,56,56,89
"24727",0,36.1569658,-115.3335939,1,"Q1",1,0,0,129.666666666667,55.6666666666667,67,122,122,117,89
"28523",0,36.1569658,-115.3335939,0,"Q2",0,0,0,431.666666666667,274,328,333,300,306,322
"1371",1,36.156094,-115.333584,0,"Q2",0,0,0,225.666666666667,100,139,144,111,156,206
"1967",0,36.156094,-115.333584,0,"Q3",0,0,0,409.333333333333,281.333333333333,300,283,311,300,306
"2030",0,36.156094,-115.333584,0,"Q3",0,0,0,400,255.666666666667,300,300,278,317,311
"2161",0,36.156094,-115.333584,0,"Q3",0,0,0,429.333333333333,266.666666666667,322,344,339,328,317
"2218",0,36.156094,-115.333584,1,"Q3",0,0,0,415,279.333333333333,322,328,306,294,272
"2315",0,36.156094,-115.333584,0,"Q3",0,0,0,328,248,250,272,267,272,278
"2336",0,36.156094,-115.333584,0,"Q3",0,0,0,388.666666666667,233.333333333333,272,278,222,222,244
"2364",0,36.156094,-115.333584,1,"Q3",5.33333333333333,0,0,304,220,222,222,244,206,189
"2639",0,36.156094,-115.333584,0,"Q4",4.84615384615385,0,0,324,192.333333333333,194,167,117,94,117
"3088",0,36.156094,-115.333584,1,"Q4",0,0,0,192.333333333333,77.6666666666667,94,94,100,94,89
"3444",0,36.156094,-115.333584,1,"Q4",0,0,0,164.666666666667,26,61,50,39,33,72
"4189",0,36.156094,-115.333584,1,"Q1",0,0,0,179.666666666667,37,133,39,56,94,117
"4473",0,36.156094,-115.333584,1,"Q1",0,0,0,235.333333333333,57.3333333333333,172,172,161,167,172
"4819",0,36.156094,-115.333584,0,"Q2",0,0,0,279.666666666667,122.333333333333,189,111,100,117,161
"4919",0,36.156094,-115.333584,0,"Q2",0,0,0,215,127.666666666667,122,128,78,106,156
"5061",0,36.156094,-115.333584,0,"Q2",0,0,0,325.666666666667,187,233,261,256,250,261
"5607",0,36.156094,-115.333584,1,"Q2",0,0,0,326,188.666666666667,233,250,306,289,283
"5678",0,36.156094,-115.333584,0,"Q2",0,0,0,366.666666666667,257.666666666667,283,250,144,167,194
"5954",0,36.156094,-115.333584,1,"Q2",0,0,0,370.666666666667,242.333333333333,256,239,267,306,294
"6790",0,36.156094,-115.333584,1,"Q3",1.63636363636364,0,0,400,290.666666666667,333,328,333,322,306
"7434",0,36.156094,-115.333584,0,"Q3",0,0,0,396.333333333333,251.666666666667,294,328,317,300,306
"8034",0,36.156094,-115.333584,0,"Q4",0,0,0,228,144.333333333333,161,133,144,106,122
"8269",0,36.156094,-115.333584,0,"Q4",0,0,0,185,40.6666666666667,72,83,89,100,156
"8717",0,36.156094,-115.333584,0,"Q4",0,0,0,87,-1.66666666666667,-6,-6,33,-6,0
"9542",0,36.156094,-115.333584,1,"Q1",0,0,0,133.333333333333,44.3333333333333,39,33,61,44,72
"10359",0,36.156094,-115.333584,1,"Q2",0,0,0,324,131.666666666667,250,222,144,161,228
"10636",0,36.156094,-115.333584,0,"Q2",0,0,0,254,146.333333333333,178,206,244,267,289
"13994",1,36.156094,-115.333584,0,"Q1",0,0,0,150,9.33333333333333,61,83,78,83,78
"14292",0,36.156094,-115.333584,0,"Q1",2.36363636363636,0,0,138.666666666667,83,83,22,39,50,50
"5741",0,36.1564004,-115.3335562,1,"Q2",0,0,0,276,136.666666666667,194,228,261,261,294
"6766",0,36.1564004,-115.3335562,1,"Q3",0,0,0,415,292.666666666667,339,333,328,333,322
"6865",0,36.1564004,-115.3335562,0,"Q3",0,0,0,407.333333333333,250,289,306,328,267,244
"7098",0,36.1564004,-115.3335562,0,"Q3",0,0,0,435,292.666666666667,361,339,339,339,344
"9935",0,36.1564004,-115.3335562,1,"Q1",0,0,0,161.333333333333,74,78,100,150,189,178
"10186",1,36.1564004,-115.3335562,0,"Q2",0,0,0,236.666666666667,92.6666666666667,133,150,183,222,189
"10637",0,36.1564004,-115.3335562,0,"Q2",0,0,0,254,146.333333333333,178,206,244,267,289
"13148",0,36.1564004,-115.3335562,1,"Q4",0,0,0,237,87,144,144,67,56,94
"13958",0,36.1564004,-115.3335562,1,"Q1",0,0,0,135.333333333333,5.66666666666667,33,50,33,61,83
"14545",1,36.1564004,-115.3335562,0,"Q1",0,0,0,248,96.3333333333333,139,139,89,94,122
"15943",0,36.1564004,-115.3335562,0,"Q2",0,0,0,302,175.666666666667,239,239,283,328,306
"18286",0,36.1564004,-115.3335562,0,"Q4",0.461538461538462,0,0,133.333333333333,57.6666666666667,50,61,61,67,167
"24407",0,36.1564004,-115.3335562,1,"Q4",0,0,0,128,46.3333333333333,50,94,28,39,100
"19026",0,36.1490366437,-115.3335092442,1,"Q1",0,0,0,276,129.666666666667,167,172,178,206,183
"19403",0,36.1490366437,-115.3335092442,1,"Q2",23.3636363636364,0,0,224,111.333333333333,111,167,183,211,261
"19581",0,36.1490366437,-115.3335092442,1,"Q2",0,0,0,255.666666666667,113.333333333333,194,228,139,189,200
"19723",0,36.1490366437,-115.3335092442,0,"Q2",0,0,0,325.666666666667,198,211,233,261,289,256
"20103",0,36.1490366437,-115.3335092442,1,"Q3",0,0,0,344.333333333333,248,256,278,267,294,294
"20502",0,36.1490366437,-115.3335092442,1,"Q3",0,0,0,420.666666666667,292.666666666667,333,300,294,306,306
"21046",0,36.1490366437,-115.3335092442,0,"Q4",0,0,0,181.333333333333,57.6666666666667,117,78,94,133,94
"21817",0,36.1490366437,-115.3335092442,1,"Q1",0,0,0,231.333333333333,57.6666666666667,117,50,33,0,17
"22660",0,36.1490366437,-115.3335092442,1,"Q2",107,0,0,185.333333333333,90.6666666666667,133,156,178,217,239
"23524",0,36.1490366437,-115.3335092442,1,"Q3",0,0,0,413,283.333333333333,322,306,306,311,294
"18621",0,36.1608501,-115.3334837,0,"Q1",0.416666666666667,0,0,172.333333333333,87,117,122,89,83,83
"19279",0,36.1608501,-115.3334837,0,"Q2",0,0,0,248,105.666666666667,156,183,183,233,117
"22871",0,36.1608501,-115.3334837,0,"Q2",0,0,0,274.333333333333,155.666666666667,172,222,239,244,250
"28693",1,36.1608501,-115.3334837,1,"Q3",0,0,0,452,313,356,333,339,367,367
"18762",0,36.1457336231,-115.3333819564,0,"Q1",0,0,0,216.666666666667,107.666666666667,106,122,139,144,139
"21320",0,36.1457336231,-115.3333819564,0,"Q4",1.18181818181818,0,0,161.333333333333,67,67,44,89,22,50
"22484",1,36.1457336231,-115.3333819564,1,"Q2",151.416666666667,0,0,166.666666666667,109.333333333333,133,139,189,206,194
"24021",1,36.1457336231,-115.3333819564,0,"Q4",0,0,0,274,137,183,200,144,172,194
"25429",1,36.1457336231,-115.3333819564,0,"Q2",0,0,0,246.333333333333,96.3333333333333,139,189,211,144,161
"20503",0,36.152929,-115.333119,1,"Q3",0,0,0,420.666666666667,292.666666666667,333,300,294,306,306
"20623",0,36.152929,-115.333119,1,"Q3",0,0,0,383.333333333333,263,283,272,233,239,217
"21073",0,36.152929,-115.333119,1,"Q4",0,0,0,192.333333333333,61.3333333333333,94,133,94,56,67
"21580",0,36.152929,-115.333119,0,"Q1",3.53846153846154,0,0,120.333333333333,61,61,39,56,56,11
"21742",0,36.152929,-115.333119,1,"Q1",0,0,0,131.333333333333,55.6666666666667,89,56,72,44,56
"21905",0,36.152929,-115.333119,0,"Q1",0,0,0,226,72,89,94,100,106,111
"23728",0,36.152929,-115.333119,1,"Q3",0,0,0,355.666666666667,228,272,306,300,322,322
"24245",0,36.152929,-115.333119,1,"Q4",0,0,0,263,142.333333333333,161,167,156,150,161
"26437",0,36.152929,-115.333119,0,"Q3",0,0,0,386.666666666667,264.666666666667,300,278,278,306,317
"27453",0,36.152929,-115.333119,1,"Q1",0,0,0,187,57.3333333333333,83,89,111,89,100
"28993",1,36.1491481,-115.3331036,0,"Q4",12.0625,0,0,318.666666666667,233.333333333333,244,256,183,211,200
"20961",0,36.1515318,-115.3330157,1,"Q4",0,0,0,240.666666666667,153.666666666667,161,172,189,178,167
"21297",0,36.1515318,-115.3330157,0,"Q4",0,0,0,163,42.3333333333333,72,89,89,156,67
"21335",0,36.1515318,-115.3330157,1,"Q4",2.27272727272727,0,0,142.666666666667,61,44,89,22,50,11
"21538",0,36.1515318,-115.3330157,1,"Q1",0,0,0,115,14.6666666666667,50,78,83,83,72
"21641",0,36.1515318,-115.3330157,0,"Q1",0,0,0,129.333333333333,0,33,44,39,61,78
"21722",0,36.1515318,-115.3330157,0,"Q1",0,0,0,146,35.3333333333333,67,78,89,56,72
"21798",0,36.1515318,-115.3330157,0,"Q1",0,0,0,170.333333333333,57.3333333333333,89,117,50,33,0
"22210",0,36.1515318,-115.3330157,1,"Q1",0,0,0,204,103.666666666667,144,117,122,144,156
"22326",0,36.1515318,-115.3330157,0,"Q1",0,0,0,272,135.333333333333,178,122,189,94,106
"22406",0,36.1515318,-115.3330157,1,"Q2",0,0,0,268.666666666667,115,172,194,194,233,194
"23297",0,36.1515318,-115.3330157,0,"Q3",0,0,0,429.666666666667,253.333333333333,328,339,333,322,328
"24087",0,36.1515318,-115.3330157,0,"Q4",0,0,0,340.666666666667,218.333333333333,267,233,217,189,222
"24967",0,36.1515318,-115.3330157,1,"Q1",35.9090909090909,0,0,176,102,139,106,89,111,167
"25202",1,36.1515318,-115.3330157,0,"Q1",0,0,0,311.333333333333,139,183,222,194,189,217
"25713",0,36.1515318,-115.3330157,1,"Q2",0,0,0,288.666666666667,168.333333333333,200,194,156,178,150
"25752",0,36.1515318,-115.3330157,0,"Q2",0,0,0,242.333333333333,116.666666666667,128,183,228,283,239
"27444",0,36.1515318,-115.3330157,0,"Q1",0,0,0,170.333333333333,55.6666666666667,83,83,89,111,89
"28290",0,36.1515318,-115.3330157,0,"Q2",0,0,0,315,196,228,256,250,261,228
"28452",1,36.1515318,-115.3330157,0,"Q2",0,0,0,403.666666666667,276,317,289,272,244,261
"22785",1,36.1569067426,-115.3329909128,1,"Q2",0,0,0,328,218.666666666667,233,239,206,250,256
"22908",0,36.1569067426,-115.3329909128,1,"Q2",0,0,0,337,201.666666666667,250,272,306,283,311
"23068",0,36.1569067426,-115.3329909128,0,"Q2",0,0,0,372.333333333333,235.333333333333,272,322,328,378,356
"10552",1,36.1612270133,-115.3329908374,1,"Q2",0,0,0,331.333333333333,157.333333333333,233,194,167,133,161
"21385",0,36.148125,-115.3329749,0,"Q4",0,0,0,102,-10.6666666666667,11,33,94,33,72
"21421",0,36.148125,-115.3329749,1,"Q4",0,0,0,120.333333333333,38.6666666666667,33,72,72,89,89
"21522",0,36.148125,-115.3329749,0,"Q4",0,0,0,85.3333333333333,-3.66666666666667,-17,22,50,78,83
"21997",0,36.148125,-115.3329749,0,"Q1",2.81818181818182,0,0,196,103.666666666667,100,106,128,144,139
"22817",0,36.148125,-115.3329749,0,"Q2",0,0,0,348,192.333333333333,256,183,178,200,206
"22936",0,36.148125,-115.3329749,0,"Q2",0,0,0,390.666666666667,231.333333333333,283,311,300,317,328
"23117",0,36.148125,-115.3329749,0,"Q2",0,0,0,431.333333333333,283.333333333333,333,333,350,344,378
"23744",0,36.148125,-115.3329749,0,"Q3",0,0,0,405.666666666667,259.333333333333,322,322,306,283,256
"1759",0,36.1559383512,-115.3329598904,0,"Q3",9.71428571428571,0,0,381.333333333333,276,272,283,294,294,283
"1794",0,36.1559383512,-115.3329598904,0,"Q3",0,0,0,366.666666666667,231.333333333333,278,283,256,283,322
"2241",0,36.1559383512,-115.3329598904,0,"Q3",0,0,0,392.333333333333,273.666666666667,294,272,294,294,306
"3251",0,36.1559383512,-115.3329598904,0,"Q4",0,0,0,187,64.6666666666667,89,83,83,83,83
"4756",0,36.1559383512,-115.3329598904,0,"Q1",0,0,0,283.333333333333,129.666666666667,217,144,128,100,144
"10635",0,36.1559383512,-115.3329598904,0,"Q2",0,0,0,254,146.333333333333,178,206,244,267,289
"16473",0,36.1559383512,-115.3329598904,1,"Q2",0,0,0,418.666666666667,261.333333333333,339,356,361,367,339
"16946",0,36.1559383512,-115.3329598904,0,"Q3",0,0,0,417,300,339,300,206,239,289
