"","ch_in","cum_n_tips","cum_max_friends","cum_max_u_elite","cum_max_us_fans","cum_max_us_rev","male","female"
"527",0,2,340,9,55,753,0,2
"1432",0,3,3094,9,55,753,1,2
"1541",0,4,3094,9,55,753,2,2
"1631",0,5,3094,9,55,753,2,3
"2052",0,6,3094,9,55,753,2,4
"2225",0,7,3094,9,55,753,2,5
"2337",0,8,3094,9,55,753,2,5
"2407",0,9,3094,9,55,753,3,5
"2442",0,10,3094,9,55,753,3,5
"2664",0,11,3094,9,55,753,3,5
"2878",0,12,3094,9,55,753,3,5
"2962",0,13,3094,9,55,753,3,5
"3244",0,14,3094,9,55,753,3,5
"3252",0,15,3094,9,55,753,3,5
"3526",0,16,3094,9,55,753,3,5
"3625",0,18,3094,9,55,753,3,5
"3646",0,19,3094,9,55,753,3,5
"4395",0,20,3094,9,55,753,3,6
"4442",0,22,3094,9,55,753,4,6
"4589",0,23,3094,9,55,753,4,6
"4683",0,24,3094,9,55,753,4,6
"4920",0,25,3094,9,55,753,5,6
"4970",0,26,3094,9,55,753,5,6
"5360",0,27,3094,9,55,753,5,6
"5562",0,28,3094,9,55,753,5,6
"5584",0,30,3094,9,55,753,5,6
"5634",0,31,3094,9,55,753,5,6
"5743",0,32,3094,9,55,753,5,6
"5907",0,33,3094,9,76,753,5,7
"6823",0,34,3094,9,76,753,5,7
"7063",0,35,3094,9,88,753,5,8
"7099",0,36,3094,9,88,753,5,8
"7335",0,37,3094,9,88,753,5,9
"7725",0,38,3094,9,122,753,5,10
"8026",0,39,3094,9,122,753,5,10
"8261",0,40,3094,9,122,753,5,10
"9029",0,41,3094,9,122,753,5,11
"10514",0,42,3094,9,122,753,5,12
"10801",0,43,3094,9,140,753,5,13
"11246",0,44,3094,9,140,753,5,13
"12587",0,45,3094,9,140,753,6,13
"13600",0,46,3094,9,140,926,7,13
"16784",0,47,3094,9,140,926,7,14
"19018",0,48,3094,9,140,926,7,15
"19270",0,49,3094,9,140,926,8,15
"21799",0,50,3094,9,140,926,9,15
"22253",1,51,3094,9,140,926,9,16
"23617",0,52,3094,9,140,926,9,16
"24262",0,53,3094,9,166,926,9,17
"24995",0,54,3094,9,166,926,9,18
"26985",0,55,3094,9,166,926,9,18
"28367",0,56,3094,9,166,926,9,19
"21035",0,2,3198,9,378,1431,1,0
"21083",0,3,6026,10,697,1431,2,0
"21127",0,4,6026,10,697,1431,2,0
"21480",0,5,6026,10,697,1431,2,1
"21705",1,7,6026,10,697,1431,2,2
"22352",0,8,6026,10,697,1431,2,2
"14654",1,1,1247,9,283,2421,1,0
"16899",0,2,1247,9,283,2421,2,0
"20442",0,3,1247,9,283,2421,3,0
"22379",0,4,1247,9,283,2421,4,0
"25076",0,5,1247,9,283,2421,4,0
"27344",0,6,1247,9,283,2421,4,0
"19308",0,1,1997,6,309,858,0,1
"19469",0,2,1997,6,309,858,0,1
"20143",0,3,1997,6,309,858,0,2
"20207",0,4,1997,6,309,858,1,2
"21516",0,5,2916,9,309,1664,1,3
"21608",0,6,2916,9,309,1664,2,3
"21741",0,7,2916,9,309,1664,2,4
"22499",0,8,2916,9,309,1664,2,4
"22828",0,9,2916,9,309,1664,3,4
"22985",0,10,2916,9,309,1664,3,5
"23782",0,11,2916,9,309,1664,4,5
"23976",0,12,2916,9,309,1664,4,6
"24610",0,13,2916,9,309,1664,4,6
"25283",1,14,2916,9,309,1664,5,6
"28048",0,15,2916,9,309,1664,5,7
"754",1,1,425,3,11,150,1,0
"1029",0,2,3975,3,730,907,1,1
"1227",0,3,3975,3,730,907,1,2
"6893",0,4,3975,3,730,907,1,2
"13149",0,5,3975,6,730,907,2,2
"14739",0,6,3975,7,730,1196,2,3
"7844",0,1,356,8,27,593,1,0
"21881",0,1,273,5,52,613,0,1
"22335",0,2,528,7,166,617,0,2
"22945",0,3,528,7,166,617,0,2
"23080",0,4,536,7,166,617,0,3
"23662",0,5,536,7,166,617,0,4
"24439",1,6,536,7,166,617,0,4
"24727",0,7,536,7,166,617,0,4
"28523",0,8,536,7,166,631,1,4
"1371",1,1,313,1,15,250,1,0
"1967",0,2,2916,9,219,1664,1,1
"2030",0,3,2916,9,219,1664,1,2
"2161",0,4,2916,9,219,1664,1,2
"2218",0,5,2916,9,219,1664,1,2
"2315",0,6,2916,9,219,1664,1,2
"2336",0,7,2916,9,219,1664,1,2
"2364",0,8,2916,9,219,1664,2,2
"2639",0,9,2916,9,219,1664,2,2
"3088",0,10,2916,9,219,1664,2,2
"3444",0,11,2916,9,219,1664,3,2
"4189",0,12,2916,9,219,1664,3,2
"4473",0,13,2916,9,219,1664,3,3
"4819",0,14,2916,9,219,1664,4,3
"4919",0,15,2916,9,219,1664,4,3
"5061",0,16,2916,9,219,1664,4,3
"5607",0,17,2916,9,219,1664,5,3
"5678",0,18,2916,9,219,1664,5,3
"5954",0,19,2916,9,219,1664,5,4
"6790",0,20,2916,9,219,1664,5,4
"7434",0,21,2916,9,219,1664,5,4
"8034",0,22,2916,9,219,1664,5,4
"8269",0,23,2916,9,219,1664,5,5
"8717",0,24,2916,9,219,1664,5,5
"9542",0,25,2916,9,219,1664,5,5
"10359",0,26,2916,9,219,1664,6,5
"10636",0,27,2916,9,219,1664,6,5
"13994",1,28,2916,9,219,1664,6,5
"14292",0,29,2916,9,219,1664,6,5
"5741",0,1,1247,9,283,2421,1,0
"6766",0,3,1247,9,283,2421,1,1
"6865",0,4,1247,9,283,2421,1,2
"7098",0,5,1247,9,283,2421,1,3
"9935",0,6,1247,9,283,2421,1,4
"10186",1,7,1779,9,283,2421,1,5
"10637",0,8,1997,9,309,2421,1,5
"13148",0,9,1997,9,309,2421,1,6
"13958",0,10,1997,9,309,2421,1,6
"14545",1,11,1997,9,309,2421,1,6
"15943",0,12,1997,9,309,2421,1,7
"18286",0,13,1997,9,309,2421,1,7
"24407",0,14,1997,13,415,3061,1,8
"19026",0,1,1143,2,140,481,0,1
"19403",0,2,1143,4,140,573,0,2
"19581",0,3,1143,4,140,573,0,3
"19723",0,4,1143,4,140,573,0,3
"20103",0,5,1143,4,140,573,0,3
"20502",0,6,1143,4,140,573,0,3
"21046",0,7,1143,4,140,573,0,3
"21817",0,8,1143,4,140,573,0,3
"22660",0,9,1143,10,148,979,0,4
"23524",0,10,1143,10,148,979,0,4
"18621",0,1,1143,2,140,481,0,1
"19279",0,2,2916,9,219,1664,0,2
"22871",0,3,2916,9,219,1664,0,2
"28693",1,4,2916,9,219,1664,0,2
"18762",0,1,93,6,13,189,1,0
"21320",0,2,626,6,39,376,2,0
"22484",1,3,1060,9,183,540,2,1
"24021",1,4,1060,9,183,698,3,1
"25429",1,5,1060,9,183,698,4,1
"20503",0,1,1060,9,183,540,0,1
"20623",0,2,1295,9,183,540,1,1
"21073",0,3,1295,9,183,540,1,2
"21580",0,4,1295,9,183,540,1,2
"21742",0,6,1295,9,183,540,1,2
"21905",0,8,1295,9,183,540,1,2
"23728",0,12,1295,9,183,540,1,2
"24245",0,13,1295,9,183,540,1,2
"26437",0,14,1295,9,183,540,1,2
"27453",0,15,1295,9,183,540,1,3
"28993",1,1,506,3,11,272,0,1
"20961",0,2,3198,9,378,1431,1,0
"21297",0,3,3198,9,378,1431,1,0
"21335",0,4,3198,9,378,1431,2,0
"21538",0,6,3198,9,378,1431,2,1
"21641",0,7,3198,9,378,1431,2,2
"21722",0,8,3198,9,378,1431,2,3
"21798",0,9,3198,9,378,1431,2,4
"22210",0,12,3198,9,378,1431,2,4
"22326",0,13,3198,9,378,1431,3,4
"22406",0,14,3198,9,378,1431,3,4
"23297",0,15,3198,9,378,1431,3,4
"24087",0,16,3198,9,378,1431,3,5
"24967",0,17,3198,9,378,1431,3,6
"25202",1,18,3198,9,378,1606,4,6
"25713",0,19,3198,9,378,1606,4,7
"25752",0,20,3198,9,378,1606,4,8
"27444",0,21,3198,9,378,1606,4,8
"28290",0,22,3198,9,378,1606,4,9
"28452",1,23,3198,9,378,1606,4,10
"22785",1,1,80,10,2,8,1,0
"22908",0,2,80,7,2,42,2,0
"23068",0,3,189,2,9,67,2,1
"10552",1,1,24,7,6,225,1,0
"21385",0,1,528,7,166,617,0,1
"21421",0,2,591,9,166,734,0,2
"21522",0,3,591,9,166,734,0,3
"21997",0,4,591,9,166,734,0,3
"22817",0,5,591,9,166,734,0,3
"22936",0,6,591,9,166,734,0,3
"23117",0,7,591,9,166,734,0,4
"23744",0,8,591,9,166,734,0,4
"1759",0,1,356,8,27,593,1,0
"1794",0,2,356,7,27,593,1,0
"2241",0,3,356,8,27,593,1,0
"3251",0,4,356,11,27,593,1,0
"4756",0,5,356,10,27,593,1,0
"10635",0,6,1550,6,92,593,2,0
"16473",0,7,1550,6,92,613,2,1
"16946",0,8,1550,6,92,613,2,2
"449",0,1,2133,10,256,1144,0,1
"526",0,2,2133,10,256,1144,0,2
"658",0,3,3094,10,256,1144,1,2
"971",0,4,3094,10,256,1144,1,2
"1410",0,5,3094,10,256,1144,1,3
"1475",0,6,3094,10,256,1144,1,4
"2004",0,7,3094,10,256,1144,1,5
"2022",0,8,3094,10,256,1144,1,6
"2219",0,9,3094,10,256,1144,1,7
"2242",0,10,3094,10,256,1144,1,8
"2260",0,11,3094,10,256,1144,2,8
"2365",0,12,3094,10,256,1144,3,8
"2877",0,13,3094,10,256,1144,3,8
"2998",0,14,3094,10,256,1144,3,8
"3072",0,15,3094,10,256,1234,4,8
"3339",0,16,3094,10,256,1234,4,8
"3402",0,17,3094,10,256,1234,4,8
"3485",0,18,3094,10,256,1234,4,8
"3703",0,19,3094,10,256,1234,4,9
"3726",0,20,3094,10,256,1234,4,9
"3782",0,21,3094,10,256,1234,4,9
"3798",0,22,3094,10,256,1234,4,9
"4537",0,23,3094,10,256,1234,4,9
"4757",0,24,3094,10,256,1234,4,9
"5187",0,25,3094,10,256,1234,5,9
"5387",0,26,3094,10,256,1234,5,9
"5476",0,27,3094,10,256,1234,5,9
"5583",0,28,3094,10,256,1234,5,9
"5742",0,29,3094,10,256,1234,5,10
"5955",0,30,3094,10,256,1234,5,11
"6230",0,31,3094,10,256,1234,5,11
"6341",0,32,3094,10,256,1234,5,11
"6366",0,33,3094,10,256,1234,5,11
"6512",0,34,3094,10,256,1234,5,11
"6767",0,35,3094,10,256,1234,5,11
"7896",0,36,3094,10,256,1234,5,11
"8035",0,37,3094,10,256,1234,5,11
"8155",0,38,3094,10,256,1234,5,12
"8177",0,39,3094,10,256,1234,6,12
"8287",0,40,3094,10,256,1606,7,12
"9380",0,41,3094,10,256,1606,7,12
"9600",0,42,3094,10,256,1606,7,13
"10736",0,43,3094,10,256,1606,8,13
"11545",0,44,3094,10,256,1606,8,14
"11724",0,45,3094,10,256,1606,9,14
"12579",0,46,3094,10,256,1606,9,15
"12883",0,47,3094,10,256,1606,9,15
"13367",0,48,3094,10,256,1606,10,15
"13537",0,49,3094,10,256,1606,10,15
"13672",0,50,3094,10,256,1606,10,15
"13959",0,51,3094,10,256,1606,10,15
"15496",0,52,3094,10,256,1606,10,15
"16115",0,53,3094,10,256,1606,10,16
"16527",0,54,3094,10,256,1606,10,17
"16690",0,55,3094,10,256,1606,10,18
"16828",0,56,3094,10,256,1606,10,18
"17674",0,57,3094,10,256,1606,10,18
"17925",0,58,3094,10,256,1606,10,19
"18010",0,59,3094,10,256,1606,10,19
"18880",0,61,3094,10,256,1606,10,19
"19601",0,62,3094,10,256,1606,11,19
"22334",0,63,3094,10,256,1606,11,20
"22407",0,64,3094,10,256,1606,11,20
"22445",0,65,3094,10,256,1606,11,21
"22678",0,66,3094,10,256,1606,11,22
"22784",0,67,3094,10,256,1606,11,22
"23141",0,68,3094,10,256,1606,11,23
"23215",0,69,3094,10,256,1606,11,24
"24919",0,70,3094,10,256,1606,11,25
"26689",0,71,3094,10,256,1606,11,26
"27028",0,72,3094,10,256,1606,11,26
"28366",0,73,3094,10,256,1606,12,26
"28639",0,74,3241,10,259,2229,13,26
"28704",0,75,3241,10,259,2229,13,26
"28812",0,76,3241,10,259,2229,13,27
"28949",0,77,3241,10,259,2229,13,27
"28955",0,78,3241,10,259,2229,13,27
"29160",0,79,3241,10,259,2229,13,27
"18410",0,1,465,8,1,16,0,1
"18442",0,2,465,8,27,593,1,1
"19878",0,3,465,11,27,593,1,2
"21296",0,4,465,6,29,593,1,3
"21818",0,5,465,6,52,698,2,3
"23812",0,6,629,9,102,1067,2,4
"25821",0,8,1003,10,148,1067,2,5
"26842",0,9,1003,10,148,1067,2,6
"27479",0,10,1003,10,148,1067,2,6
"19771",0,1,273,5,52,613,0,1
"19911",0,2,1060,9,183,613,0,2
"20960",0,3,1060,9,183,613,0,2
"21000",0,4,1060,9,183,613,0,3
"22444",0,5,1060,9,183,631,1,3
"22489",0,6,1060,9,183,631,1,3
"22959",0,7,1060,9,183,631,1,3
"23110",0,8,1060,9,183,631,2,3
"23491",0,9,1060,9,183,631,2,4
"23530",1,10,1060,9,183,631,3,4
"24282",0,11,1060,9,183,631,3,5
"26954",0,12,1060,9,183,631,3,6
"27627",0,13,1060,9,183,631,3,7
"20046",0,1,1060,9,183,540,0,1
"21001",0,2,1060,9,183,540,0,1
"22041",1,3,1060,9,183,540,1,1
"24332",0,4,3198,9,378,1431,2,1
"24419",0,5,3198,9,378,1431,2,1
"28681",0,6,3198,9,378,1431,3,1
"20600",1,1,1143,2,140,481,0,1
"20682",0,2,1295,2,140,481,1,1
"24036",0,3,1295,4,140,481,1,2
"25369",0,4,1295,4,140,481,2,2
"25412",0,5,1295,4,140,481,2,3
"21481",0,1,123,10,12,104,0,1
"21555",0,2,465,10,12,104,0,2
"22551",0,3,465,9,12,104,0,3
"25235",0,4,528,7,166,617,0,4
"27866",0,5,2916,9,219,1664,0,5
"23545",0,2,1060,9,183,613,0,2
"23553",0,3,1060,9,183,613,0,2
"23560",0,4,1073,9,183,613,0,3
"23598",0,5,1073,9,183,613,0,3
"23650",0,7,1073,9,183,613,1,4
"23851",1,8,1073,9,183,698,2,4
"24037",0,9,1073,9,183,698,2,5
"24847",1,10,1073,9,183,698,2,6
"24906",0,11,1073,9,183,698,2,7
"26436",1,12,1073,9,183,698,2,8
"27805",1,13,1073,9,183,698,3,8
"28003",0,14,1073,9,183,698,3,9
"22470",0,1,1058,6,98,420,0,1
"23554",0,2,1058,7,178,1606,1,1
"24989",1,3,1058,7,178,1606,1,2
"25951",0,4,1058,7,178,1606,1,3
"27628",0,5,1058,7,178,1606,2,3
"18070",0,1,361,9,43,423,0,1
"18707",0,2,361,9,52,613,0,2
"19383",1,3,528,9,166,617,0,3
"19496",0,4,528,9,166,617,1,3
"685",1,1,3094,7,14,76,1,0
"1011",0,2,3094,8,14,81,1,1
"1617",0,3,3094,9,283,2421,2,1
"2298",0,4,3094,9,283,2421,2,2
"2349",0,5,3094,9,283,2421,2,3
"2972",0,6,3094,9,283,2421,3,3
"4121",0,7,3094,9,283,2421,3,3
"4177",0,8,3094,9,283,2421,3,4
"5937",0,9,3094,9,283,2421,4,4
"7845",0,10,3094,9,283,2421,4,4
"7974",0,11,3094,9,283,2421,4,5
"1694",0,1,185,8,8,103,0,1
"7509",0,2,185,8,8,103,0,2
"7654",0,3,314,4,16,134,1,2
"9601",0,4,314,4,16,134,1,2
"10551",1,5,425,4,16,150,2,2
"11041",0,6,603,4,24,353,2,3
"17490",0,7,603,4,24,353,2,3
"2005",0,1,208,2,11,97,0,1
"2193",0,2,1163,2,11,97,0,2
"2527",0,3,1163,2,11,97,0,2
"2695",0,4,1163,2,11,97,0,2
"2879",0,5,1163,2,11,97,0,2
"3426",0,6,1163,4,16,134,1,2
"4280",0,7,1163,4,16,134,1,2
"4384",0,8,1163,4,16,134,1,2
"4519",0,9,1163,4,16,134,1,2
"4549",0,10,1163,4,16,134,1,2
"5156",0,11,1163,4,16,134,2,2
"5477",0,12,1163,4,16,134,2,3
"6343",0,13,1163,4,16,134,2,3
"6546",0,14,1163,4,16,255,3,3
"6709",0,15,1163,4,16,255,4,3
"7349",0,16,1163,4,50,631,5,3
"9158",0,17,1163,4,50,631,5,3
"10187",0,18,1997,6,309,858,5,4
"10472",0,19,1997,6,309,858,5,4
"13000",0,20,1997,6,309,858,5,5
"17491",0,21,1997,6,309,858,6,5
"21437",1,22,1997,6,309,858,7,5
"21714",0,23,1997,6,309,858,7,6
"25575",1,24,1997,6,309,858,7,6
"2208",0,1,1295,11,6,74,1,0
"2544",0,2,1295,2,25,510,1,1
"2608",0,3,1295,2,25,510,1,2
"3297",0,4,1295,4,47,510,2,2
"3736",0,6,1295,6,54,510,3,3
"3907",0,7,1295,6,54,510,4,3
"4248",0,8,1295,6,54,510,4,3
"5992",0,9,1295,6,54,510,4,3
"6630",0,10,1295,6,54,510,4,3
"7314",0,11,1295,7,122,510,4,4
"8303",0,12,2916,9,219,1664,4,5
"8514",0,13,2916,9,219,1664,5,5
"9093",0,14,2916,9,219,1664,6,5
"9897",1,15,2916,9,219,1664,6,6
"11534",0,16,2916,9,309,1664,6,7
"19524",0,17,2916,9,309,1664,7,7
"20861",1,18,2916,9,309,1664,7,8
"23619",0,19,2916,9,309,1664,7,9
"26353",0,20,2916,9,309,1664,8,9
"27715",1,21,2916,9,309,1664,8,10
"27597",0,2,273,5,58,613,0,2
"28476",0,3,2818,5,79,613,1,2
"3632",0,1,526,2,30,250,1,0
"3765",0,2,1163,2,30,250,1,1
"3948",0,3,1163,2,30,250,1,1
"4242",0,4,1163,2,30,250,1,1
"4323",0,5,1163,2,30,250,1,1
"4918",0,6,1163,2,30,250,1,1
"4988",0,7,1163,2,30,250,1,1
"5676",0,8,1163,2,30,250,1,1
"7285",0,9,1163,2,30,250,1,1
"7416",0,10,1163,2,30,250,1,1
"8012",0,11,1163,2,30,250,1,1
"8077",0,13,1163,2,140,481,1,2
"15001",0,14,1163,2,140,481,1,2
"2152",0,1,293,2,25,510,0,1
"2182",0,2,356,2,27,593,1,1
"16582",0,3,356,2,27,593,1,1
"1228",0,1,18,9,4,255,1,0
"1903",0,2,18,8,4,255,1,0
"2913",0,3,18,8,4,255,1,0
"3115",0,4,18,11,4,255,1,0
"18800",0,5,18,8,4,255,1,0
"5977",0,1,955,7,165,1185,0,1
"7758",0,2,955,7,165,1185,1,1
"10527",0,3,3975,7,730,1185,1,2
"12884",1,4,3975,7,730,1185,2,2
"16691",0,5,3975,7,730,1185,3,2
"17500",0,6,3975,7,730,1185,3,3
"18970",0,7,3975,7,730,1185,4,3
"19078",0,8,3975,7,730,1185,4,4
"20648",0,9,3975,7,730,1185,4,5
"21093",1,10,3975,7,730,1185,4,6
"21986",0,11,3975,7,730,1185,4,6
"22343",1,13,3975,7,730,1185,4,7
"22786",0,14,3975,7,730,1185,4,8
"23262",0,15,3975,7,730,1185,4,8
"238",0,1,361,9,43,423,0,1
"1358",0,3,361,9,43,423,0,1
"3258",0,4,603,9,43,423,0,1
"10333",0,5,603,9,46,423,0,2
"11309",0,6,603,9,46,423,1,2
"592",0,1,293,2,25,510,0,1
"898",0,2,293,2,25,510,0,1
"2003",0,3,293,3,25,510,1,1
"2333",0,4,1163,3,25,510,1,2
"5729",0,5,1163,3,25,510,1,2
"6229",0,6,1163,3,50,631,2,2
"6615",0,7,1163,3,140,631,2,3
"7392",0,8,1163,3,140,631,2,3
"7615",0,9,1163,3,140,631,2,3
"9934",0,10,1163,3,140,631,2,4
"10812",0,11,3198,9,378,1431,3,4
"14687",0,12,3198,9,378,1431,3,5
"15161",0,13,3198,9,378,1431,3,6
"15723",0,14,3198,9,378,1431,3,7
"18582",0,15,3198,9,378,1431,3,8
"21786",0,16,3198,9,378,1431,3,9
"15854",0,1,924,6,54,437,1,0
"22783",1,2,924,6,54,437,1,1
"26622",0,3,924,6,54,437,2,1
"18542",0,2,3022,9,641,4321,0,2
"18565",0,6,3198,9,641,4321,2,2
"18681",0,7,3198,9,641,4321,3,2
"18733",0,8,3198,9,641,4321,3,3
"18981",0,10,3198,13,641,4321,4,4
"19034",0,11,3198,13,641,4321,5,4
"19164",0,12,3198,13,641,4321,6,4
"19990",0,13,3198,13,641,4321,6,5
"27699",0,14,3198,13,641,4321,6,6
"3947",0,1,397,8,30,291,0,1
"26188",1,2,397,8,30,291,0,2
"5761",0,1,924,6,54,437,1,0
"6677",0,2,1143,6,140,481,1,1
"6711",0,3,1143,6,140,481,1,1
"6791",0,4,1143,6,140,481,1,1
"6867",0,5,1143,6,140,481,1,1
"6990",0,6,1143,6,140,481,1,1
"7291",0,7,1143,6,140,481,1,1
"7536",1,10,1143,6,140,481,1,1
"12965",0,11,1143,6,140,481,1,1
"15182",1,13,1143,8,140,926,2,1
"15309",0,14,1143,8,140,926,2,2
"20895",0,15,1143,8,140,926,3,2
"21394",0,16,1143,8,140,926,3,2
"24671",0,17,1143,8,140,926,3,2
"987",0,1,361,9,43,423,0,1
"1984",0,2,361,9,43,423,1,1
"2753",0,3,433,9,63,457,1,2
"3068",0,4,433,9,63,457,1,2
"5140",0,5,433,9,63,457,1,2
"5298",0,7,469,9,63,457,1,3
"5773",0,8,469,9,63,457,2,3
"7651",0,9,469,9,63,457,2,3
"8490",0,10,469,9,63,457,2,4
"11940",0,11,469,9,63,457,2,4
"19965",0,12,469,9,63,457,2,4
"20827",0,13,2916,9,219,1664,2,5
"25621",0,14,2916,9,219,1664,3,5
"26285",0,15,2916,9,219,1664,3,6
"28328",0,16,2916,9,219,1664,3,6
"8468",0,1,709,4,112,588,1,0
"14921",0,1,97,8,2,79,1,0
"16988",0,2,1466,3,62,138,1,1
"21456",0,3,1466,7,62,450,1,2
"24244",0,4,1466,7,63,493,1,3
"24621",0,5,1466,7,63,493,1,3
"25733",0,6,1466,7,63,493,2,3
"25819",0,7,1466,9,63,1530,2,4
"2160",0,2,293,2,25,510,0,1
"2400",0,3,356,2,27,593,1,1
"4649",0,4,356,2,27,593,1,1
"4828",0,5,356,2,27,593,1,2
"6673",0,6,356,2,27,593,1,2
"6949",0,7,356,2,27,593,1,2
"8493",0,8,356,2,27,593,1,2
"8525",0,9,356,2,27,593,2,2
"9736",0,10,356,2,27,593,2,2
"9920",0,11,693,4,76,593,2,3
"10291",0,12,693,4,76,593,3,3
"10546",0,13,693,4,76,593,3,3
"14499",0,14,693,4,76,593,3,4
"16345",0,15,693,4,76,593,4,4
"17691",1,16,1613,7,148,727,5,4
"19939",0,17,1613,7,148,727,5,5
"3783",0,1,147,3,10,214,1,0
"3853",0,2,1163,3,10,214,1,1
"4512",0,3,1163,3,10,214,1,1
"7687",0,5,1163,3,10,214,1,1
"8494",0,6,1163,3,27,593,2,1
"8599",0,7,1163,9,48,593,2,2
"9221",0,8,1163,9,48,593,2,2
"9365",0,10,3975,9,730,907,3,3
"9648",0,11,3975,9,730,1185,3,4
"10743",1,12,3975,9,730,1185,3,5
"11059",0,13,3975,9,730,1185,3,6
"11098",0,14,3975,9,730,1185,3,7
"12254",0,15,6026,10,730,1185,4,7
"14391",0,16,6026,10,730,1185,4,7
"14774",1,17,6026,10,730,1185,4,7
"17833",1,18,6026,10,730,1185,4,8
"18995",0,19,6026,10,730,1185,4,9
"29039",1,20,6026,10,730,1185,4,10
"2734",0,1,18,7,4,255,1,0
"8351",0,2,18,7,4,255,1,0
"8590",0,3,1997,6,309,858,1,1
"8830",0,4,1997,6,309,858,1,1
"9209",0,5,1997,6,309,858,1,1
"9246",1,6,1997,6,309,858,1,1
"9312",0,7,1997,6,309,858,1,1
"9958",0,8,1997,6,309,858,1,1
"10638",1,9,1997,6,309,858,1,1
"10988",1,10,1997,6,309,858,1,1
"11499",0,11,1997,6,309,858,1,1
"18967",0,1,110,8,0,26,1,0
"21159",0,3,1613,7,148,727,2,0
"21649",0,4,1613,7,148,727,3,0
"22154",0,5,1613,7,148,727,4,0
"22577",0,6,1613,7,148,727,4,0
"23016",0,7,1613,7,148,727,5,0
"12801",0,1,221,11,5,61,0,1
"14732",0,2,221,11,5,61,0,1
"8249",0,1,257,7,19,156,0,1
"8323",0,2,257,7,19,317,0,2
"9825",0,3,2916,9,219,1664,0,3
"11804",0,4,2916,9,219,1664,1,3
"14955",0,5,3198,9,378,1664,2,3
"16319",1,6,3198,9,378,1664,2,4
"16987",0,7,3198,9,378,1664,3,4
"17299",0,8,3198,9,378,1664,3,5
"17358",1,9,3198,9,378,1664,3,6
"23761",0,1,528,7,166,617,0,1
"23820",0,2,528,7,166,617,0,2
"23885",0,3,528,7,166,617,0,3
"25182",0,4,528,7,166,617,0,4
"25199",0,5,840,7,166,840,1,4
"26726",0,6,840,7,166,840,1,5
"27733",0,7,840,7,166,840,1,6
"28496",0,8,840,7,166,840,2,6
"21132",0,1,49,11,7,69,0,1
"21862",0,2,49,7,7,69,1,1
"22377",1,3,536,3,50,313,1,2
"26687",1,4,536,3,50,313,1,3
"2205",0,1,469,3,46,152,0,1
"2741",0,2,469,9,48,584,0,2
"3309",1,3,1193,9,122,584,0,3
"3808",0,4,1193,9,122,584,0,3
"3986",0,5,3198,9,378,1431,1,3
"4241",0,6,3198,9,378,1431,1,3
"5015",0,7,3198,9,378,1431,1,3
"7427",0,8,3198,9,378,1431,1,3
"9751",0,9,3198,9,378,1431,1,3
"10467",0,10,3198,9,378,1431,1,4
"17486",0,11,3198,9,378,1431,1,5
"20541",0,12,3198,9,378,1431,1,5
"24182",1,13,3198,9,378,1431,1,5
"25751",1,14,3198,9,378,1431,1,6
"25757",0,1,3022,7,641,4321,0,1
"25779",0,2,3022,7,641,4321,0,2
"26547",1,15,3198,9,641,4321,1,7
