"","dataset","model_type","auc","auc_training","aucpr","accuray_max","f1_max","sensitivity_max","precision_max","training_time"
"26","yelp_sub_exogenous","Random forests",0.66168278960497,0.801153974225212,0.259873700395031,0.861891706648389,NA,1,0.666666666666667,9.4389999999994
"27","yelp_sub_exogenous","Generalized Linear Model",0.647646224232061,0.650158607146825,0.236442487988303,0.861377655928718,0.304761904761905,1,1,0.399999999999636
"28","yelp_sub_exogenous","Gradient Boosting",0.663017515923567,0.752804409006172,0.254084661846814,0.861549006168609,NA,1,0.8,4.55400000000009
"29","yelp_sub_exogenous","Naive Bayes",0.61614937952998,0.614820968841542,0.214822672279712,0.851782042494859,0.284142071035518,1,0.327102803738318,1.45000000000073
"30","yelp_sub_exogenous","Stacked Ensembles",0.683169922303975,0.928488625546726,0.269625866291532,0.861206305688828,NA,1,0.6,33.674
"31","yelp_sub_exogenous","Decision trees",0.614554694118478,0.756307995127688,0.216678819378397,0.859835503769705,0.292700212615167,1,0.422535211267606,1.31400000000031
"32","yelp_sub_exogenous","#Support Vector Machines",0.548037400771862,NA,NA,NA,NA,NA,NA,NA
"33","yelp_sub_total","Deep Learning",0.669183240641963,0.718847263579995,0.240814787304635,0.861206305688828,0.319500550863019,1,0.75,36.4459999999999
"34","yelp_sub_total","Random forests",0.711712842395908,0.871508416119895,0.288564249756046,0.861891706648389,0.364654138344662,1,1,13.4720000000007
"35","yelp_sub_total","Generalized Linear Model",0.697691352444228,0.69535090385737,0.263176447163456,0.861206305688828,0.355869242199108,1,1,1.33299999999963
"36","yelp_sub_total","Gradient Boosting",0.714724004580967,0.804578305301419,0.288837333453637,0.861720356408499,0.361058601134215,1,1,6.52000000000044
"37","yelp_sub_total","Naive Bayes",0.634515164648113,0.63664212338396,0.223286677388171,0.846298834818369,0.293720459149224,1,0.317164179104478,1.41200000000026
"38","yelp_sub_total","Stacked Ensembles",0.712260337571774,0.99590500300972,0.280579423985712,0.861549006168609,0.360836083608361,1,1,45.9499999999998
"39","yelp_sub_total","Decision trees",0.6372841395783,0.818693505481652,0.225542460353272,0.857779300891021,0.32755440796754,1,0.339285714285714,1.36799999999948
"40","yelp_sub_total","#Support Vector Machines",0.641533447334568,NA,NA,NA,NA,NA,NA,NA
